BirdID,RightTarsus,BodyMass,WingLength,HeadBill,BirthYear,SexEstimate,Observer,CatchTime,Ageclass,Island,Lifespan,ReproductiveOutput,Status,Moult,BirthDate,BirthFieldPeriodID,LastSeenYea,CatchID,FieldPeriodID,OccasionDate,OccasionID,dtemp,dtmin,dtmax,drainfall,OccasionYear,ageatsamp,fys,SurvStatus
453,26.433333333333334,16.5,66.75,36.95,1992,1,AD,NA,A,CN,18,18,SEEN1,n,1992-08-10,14,2010,1743,19,1995-05-27,420,26.566794871794873,21.8,32.8,NA,1995,2.8,1,1
454,24.2,14.733333333333334,66,36.4,1992,0,JK,NA,A,CN,12,12,BrF,NA,1992-08-10,14,2004,1741,17,1994-07-28,361,26.566794871794873,21.8,32.8,NA,1994,2,1,1
455,23.9,15.2,65.25,NA,1992,0,JK,NA,A,CN,5,4,BrF,NA,1992-08-10,14,1997,1739,16,1993-08-10,322,26.566794871794873,21.8,32.8,NA,1993,1,1,1
456,NA,16.6,66,NA,1992,0,JK,NA,A,CN,1,NA,BrF,NA,1992-08-10,14,1993,1738,16,1993-08-10,322,26.566794871794873,21.8,32.8,NA,1993,1,1,1
457,NA,14,66,NA,1992,0,JK,NA,A,CN,6,5,BrF,NA,1992-08-10,14,1998,1737,16,1993-08-10,322,26.566794871794873,21.8,32.8,NA,1993,1,1,1
458,25.25,13.466666666666667,66.33333333333333,35.8,1992,0,JK,NA,A,CN,13,9,BrF,t,1992-08-11,14,2005,1735,19,1995-05-24,415,26.566794871794873,21.8,32.8,NA,1995,2.8,1,1
459,25.2,15.175,66.75,37.05,1992,0,JK,NA,A,CN,15,12,AB,NA,1992-08-11,14,2007,1731,16,1993-08-11,323,26.566794871794873,21.8,32.8,NA,1993,1,1,1
460,NA,15.8,65,NA,1992,0,JK,NA,SA,CN,1,NA,ABX,NA,1992-12-14,14,1993,1730,16,1993-08-11,323,NA,NA,NA,NA,1993,0.7,1,1
461,NA,17.2,67,NA,1992,0,JK,NA,A,CN,6,3,ABX,NA,1992-08-11,14,1998,1729,16,1993-08-11,323,26.566794871794873,21.8,32.8,NA,1993,1,1,1
462,NA,16,64,NA,1992,0,JK,NA,A,CN,6,3,BrF,NA,1992-08-11,14,1998,1728,16,1993-08-11,323,26.566794871794873,21.8,32.8,NA,1993,1,1,1
464,NA,15.2,66,NA,1992,0,JK,NA,A,CN,4,5,BrF,NA,1992-08-10,14,1996,1726,16,1993-08-10,322,26.566794871794873,21.8,32.8,NA,1993,1,1,1
465,NA,16,69.5,NA,1992,1,AD,NA,A,CN,4,4,ABX,NA,1992-08-11,14,1996,1723,19,1995-06-23,469,26.566794871794873,21.8,32.8,NA,1995,2.9,1,1
467,26.75,16.8,70.25,37.8,1992,1,AD,NA,A,CN,8,13,BrM,n,1992-08-11,14,2000,1718,19,1995-06-25,472,26.566794871794873,21.8,32.8,NA,1995,2.9,1,1
468,NA,15.15,67,NA,1992,0,AD,NA,A,CN,4,1,BrF,NA,1992-08-11,14,1996,1716,19,1995-08-01,508,26.566794871794873,21.8,32.8,NA,1995,3,1,1
469,NA,16.4,66,NA,1992,0,JK,NA,A,CN,7,7,AB,NA,1992-08-11,14,1999,1714,16,1993-08-11,323,26.566794871794873,21.8,32.8,NA,1993,1,1,1
470,NA,15.4,70,NA,1992,1,JK,NA,A,CN,7,3,AB,NA,1992-08-12,14,1999,1713,16,1993-08-12,324,26.566794871794873,21.8,32.8,NA,1993,1,1,1
471,NA,15.4,66,NA,1992,0,JK,NA,A,CN,1,NA,ABX,NA,1992-08-12,14,1993,1712,16,1993-08-12,324,26.566794871794873,21.8,32.8,NA,1993,1,1,1
472,24.7,15.15,66,36.6,1992,0,JK,NA,SA,CN,16,NA,ABX,NA,1992-12-15,14,2008,1711,16,1993-08-12,324,NA,NA,NA,NA,1993,0.7,1,1
473,NA,17.1,72,NA,1992,1,JK,NA,A,CN,1,1,BrM,NA,1992-08-12,14,1993,1710,16,1993-08-12,324,26.566794871794873,21.8,32.8,NA,1993,1,1,1
474,NA,14.3,65.5,NA,1992,0,JK,NA,A,CN,6,2,H,n,1992-08-12,14,1998,1708,19,1995-05-31,429,26.566794871794873,21.8,32.8,NA,1995,2.8,1,1
476,24.2,14.5,65.5,36,1992,0,DR,17:00:00,A,CN,13,1,NA,NA,1992-08-12,14,2005,1705,29,1999-11-30,1001,26.566794871794873,21.8,32.8,NA,1999,7.3,1,1
477,25,15.25,69,NA,1992,1,KO,16:45:00,A,CN,6,1,BrM,NA,1992-08-14,14,1998,1702,22,1997-07-27,720,26.566794871794873,21.8,32.8,NA,1997,5,1,1
478,NA,15.6,68,NA,1992,1,AD,NA,A,CN,3,8,ABX,n,1992-08-12,14,1995,1701,19,1995-05-31,428,26.566794871794873,21.8,32.8,NA,1995,2.8,1,1
494,25.6,15.25,69.5,36.8,1990,1,KB,18:00:00,A,CN,11,22,BrM,NA,1990-07-02,12,2001,1660,22,1997-07-05,671,26.78548387096774,22.8,32.4,NA,1997,7,1,1
495,24.9,16.4,71,36.9,1993,1,DR,11:50:00,A,CN,8,7,BrM,NA,1993-07-08,16,2001,51,39,2000-08-05,1022,26.348458781362005,22.2,31.7,NA,2000,7.1,1,1
496,NA,13.6,66,NA,1993,0,JK,NA,A,CN,2,NA,ABX,NA,1993-07-08,16,1995,1657,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
497,26.8,16.84285714285714,69.85714285714286,37,1993,1,DR,11:35:00,A,CN,14,17,BrM,NA,1993-07-08,16,2007,49,39,2000-08-05,1022,26.348458781362005,22.2,31.7,NA,2000,7.1,1,1
498,25.5,15.633333333333333,69.33333333333333,36.35,1993,1,JK,NA,SA,CN,5,3,ABX,NA,1993-11-10,16,1998,1651,17,1994-07-08,332,27.26774193548387,22.4,32.3,NA,1994,0.7,1,1
499,25,15.766666666666666,68,NA,1993,1,JK,NA,A,CN,13,8,BrM,NA,1993-07-08,16,2006,1648,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
500,24.5,15.75,66,NA,1991,0,KK,15:00:00,A,CN,7,8,BrF,NA,1991-05-03,14,1998,1643,22,1997-07-05,672,26.155913978494624,20.9,31.8,NA,1997,6.2,1,1
501,26.6,16.566666666666666,68.33333333333333,NA,1994,1,JK,NA,A,CN,10,9,BrM,rlt,1994-04-09,17,2004,1640,19,1995-06-04,434,26.96738343529848,21.8,31.8,NA,1995,1.2,1,1
502,23.3,13.8,67,35.3,1993,0,JK,NA,A,CN,6,8,BrF,NA,1993-07-08,16,1999,1638,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
503,24.7,14.466666666666667,66,35.150000000000006,1993,0,JK,NA,A,CN,15,9,BrF,NA,1993-07-08,16,2008,1637,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
504,23.9,15.066666666666666,66.5,35.6,1993,0,DD,10:45:00,A,CN,7,5,BrF,NA,1993-07-08,16,2000,1634,25,1998-08-23,859,26.348458781362005,22.2,31.7,NA,1998,5.1,1,1
505,NA,14.6,65,NA,1993,0,JK,NA,A,CN,5,2,BrF,NA,1993-07-08,16,1998,1633,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
506,NA,16.7,68,NA,1993,1,JK,NA,A,CN,13,5,AB,NA,1993-07-08,16,2006,1632,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
507,26.05,16.21666666666667,70.33333333333333,37.3,1993,1,AD,NA,A,CN,15,10,BrM,n,1993-07-08,16,2008,1629,19,1995-06-11,448,26.348458781362005,22.2,31.7,NA,1995,1.9,1,1
508,NA,16.4,65,NA,1993,0,JK,NA,A,CN,4,4,BrF,NA,1993-07-08,16,1997,1628,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
509,25.7,15.6,68.5,NA,1993,1,JK,NA,A,CN,9,4,SEEN1,NA,1993-07-08,16,2002,1625,17,1994-07-08,332,26.348458781362005,22.2,31.7,NA,1994,1,1,1
510,25.9,15.925,67.625,36.8,1993,1,KO,16:45:00,A,CN,14,11,BrM,NA,1993-07-11,16,2007,1622,22,1997-07-27,720,26.515510752688172,22.2,31.9,NA,1997,4,1,1
511,24.8,14.25,66,35.8,1993,0,DR,10:10:00,A,CN,6,1,BrF,NA,1993-07-11,16,1999,1620,25,1998-08-12,848,26.515510752688172,22.2,31.9,NA,1998,5.1,1,1
512,NA,15.7,71,NA,1993,1,JK,NA,A,CN,2,NA,SEEN1,n,1993-07-11,16,1995,1618,19,1995-05-23,413,26.515510752688172,22.2,31.9,NA,1995,1.9,1,1
521,NA,14.05,65.5,NA,1994,0,AD,NA,A,CN,6,2,AB,n,1994-05-17,17,2000,1603,19,1995-07-19,497,26.585091768631813,21.8,30.8,NA,1995,1.2,1,1
522,24.2,14.5,65.83333333333333,NA,1993,0,PE,NA,A,CN,9,8,BrF,NA,1993-07-16,16,2002,1599,21,1996-06-29,559,26.515510752688172,22.2,31.9,NA,1996,3,1,1
523,25.9,16.666666666666668,68,36.4,1993,1,KB,16:20:00,A,CN,8,2,BrM,NA,1993-07-16,16,2001,1596,26,1999-01-19,889,26.515510752688172,22.2,31.9,NA,1999,5.5,1,1
524,NA,14.9,70,NA,1993,0,JK,NA,A,CN,12,12,BrF,NA,1993-07-16,16,2005,1595,17,1994-07-16,343,26.515510752688172,22.2,31.9,NA,1994,1,1,1
525,26.45,17.175,68.25,36.9,1993,1,KB,12:45:00,A,CN,7,6,BrM,NA,1993-07-16,16,2000,1591,28,1999-08-15,953,26.515510752688172,22.2,31.9,NA,1999,6.1,1,1
526,NA,16.5,68,NA,1994,1,JK,NA,FL,CN,1,NA,FL,NA,1994-05-17,17,1995,1590,17,1994-07-16,343,26.585091768631813,21.8,30.8,NA,1994,0.2,1,1
527,NA,15,68,NA,1994,0,JK,NA,FL,CN,1,NA,FL,NA,1994-05-17,17,1995,1589,17,1994-07-16,343,26.585091768631813,21.8,30.8,NA,1994,0.2,1,1
528,25,14.5,65.5,NA,1993,0,JK,NA,A,CN,5,3,AB,NA,1993-07-16,16,1998,1587,17,1994-07-16,343,26.515510752688172,22.2,31.9,NA,1994,1,1,1
529,NA,NA,67,NA,1993,0,JK,NA,A,CN,3,NA,ABX,NA,1993-07-16,16,1996,1586,17,1994-07-16,343,26.515510752688172,22.2,31.9,NA,1994,1,1,1
530,24.5,14.366666666666667,65,NA,1993,0,DR,16:00:00,A,CN,5,4,BrF,NA,1993-07-16,16,1998,1583,22,1997-07-09,682,26.515510752688172,22.2,31.9,NA,1997,4,1,1
531,NA,16.8,66,NA,1993,0,JK,NA,A,CN,4,4,BrF,NA,1993-07-16,16,1997,1582,17,1994-07-16,343,26.515510752688172,22.2,31.9,NA,1994,1,1,1
539,NA,16.1,67,NA,1993,1,JK,NA,A,CN,5,NA,BrM,NA,1993-07-21,16,1998,1574,17,1994-07-21,352,26.515510752688172,22.2,31.9,NA,1994,1,1,1
541,NA,15.4,66,NA,1993,0,JK,NA,A,CN,4,1,BrF,NA,1993-07-21,16,1997,1572,17,1994-07-21,352,26.515510752688172,22.2,31.9,NA,1994,1,1,1
542,NA,17.8,68,NA,1993,0,JK,NA,A,CN,6,4,BrF,NA,1993-07-21,16,1999,1571,17,1994-07-21,352,26.515510752688172,22.2,31.9,NA,1994,1,1,1
543,NA,13.7,66,NA,1993,0,JK,NA,A,CN,5,6,BrF,NA,1993-07-21,16,1998,1570,17,1994-07-21,352,26.515510752688172,22.2,31.9,NA,1994,1,1,1
544,25.85,15.9,70,36.8,1993,1,JK,NA,A,CN,11,8,AB,NA,1993-07-21,16,2004,1569,17,1994-07-21,352,26.515510752688172,22.2,31.9,NA,1994,1,1,1
545,NA,16.950000000000003,68.5,NA,1993,1,JK,NA,A,CN,5,6,BrM,NA,1993-07-23,16,1998,1567,17,1994-07-23,355,26.515510752688172,22.2,31.9,NA,1994,1,1,1
547,NA,16.5,68,NA,1993,1,JK,NA,A,CN,3,5,BrM,NA,1993-07-23,16,1996,1565,17,1994-07-23,355,26.515510752688172,22.2,31.9,NA,1994,1,1,1
548,NA,14.2,67,NA,1993,0,JK,NA,A,CN,2,NA,BrF,NA,1993-07-24,16,1995,1564,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
549,NA,15.8,69,NA,1993,1,JK,NA,A,CN,5,4,ABX,NA,1993-07-24,16,1998,1563,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
550,26.7,16.2,67.5,NA,1993,1,KO,11:00:00,A,CN,5,2,BrM,NA,1993-07-24,16,1998,1561,22,1997-07-11,686,26.515510752688172,22.2,31.9,NA,1997,4,1,1
552,NA,13.1,67,NA,1993,0,JK,NA,A,CN,2,NA,BrF,NA,1993-07-24,16,1995,1559,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
553,NA,14.7,67,NA,1993,1,JK,NA,A,CN,1,NA,BrM,NA,1993-07-24,16,1994,1558,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
554,24.5,15.7,65.5,36.7,1993,0,KB,10:00:00,A,CN,5,1,BrF,NA,1993-07-24,16,1998,1556,23,1998-03-06,794,26.515510752688172,22.2,31.9,NA,1998,4.6,1,1
555,NA,NA,70,NA,1993,1,JK,NA,A,CN,5,NA,BrM,NA,1993-07-24,16,1998,1555,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
556,NA,15.6,70,NA,1993,1,JK,NA,A,CN,3,NA,BrM,NA,1993-07-24,16,1996,1554,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
557,25.65,16.766666666666666,71,36.9,1993,1,DR,09:30:00,A,CN,7,5,BrM,NA,1993-07-24,16,2000,1551,25,1998-07-23,819,26.515510752688172,22.2,31.9,NA,1998,5,1,1
558,NA,14,65,NA,1993,0,JK,NA,A,CN,4,1,BrF,NA,1993-07-24,16,1997,1550,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
559,26.2,16.25,69,NA,1993,1,JK,NA,A,CN,5,4,BrM,NA,1993-07-24,16,1998,1548,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
560,NA,14.5,67,NA,1993,0,JK,NA,A,CN,2,2,ABX,NA,1993-07-24,16,1995,1547,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
561,NA,15.6,67,NA,1993,0,JK,NA,A,CN,6,9,BrF,NA,1993-07-24,16,1999,1546,17,1994-07-24,357,26.515510752688172,22.2,31.9,NA,1994,1,1,1
562,NA,15.95,70,NA,1993,1,JK,NA,A,CN,6,5,BrM,n,1993-07-27,16,1999,1544,19,1995-05-23,413,26.515510752688172,22.2,31.9,NA,1995,1.8,1,1
563,24.2,16.6,67,36.4,1994,0,DR,12:30:00,A,CN,13,3,BrF,NA,1994-07-19,17,2007,1541,25,1998-08-05,841,26.884650537634407,21.8,32,138,1998,4,1,1
594,NA,14.25,67.5,NA,1993,0,AD,NA,A,CN,2,2,BrF,n,1993-07-08,16,1995,1501,19,1995-06-04,433,26.348458781362005,22.2,31.7,NA,1995,1.9,1,1
595,24.6,15.066666666666666,66.5,36.2,1993,0,AD,NA,A,CN,11,8,BrF,t,1993-07-08,16,2004,1499,19,1995-06-05,436,26.348458781362005,22.2,31.7,NA,1995,1.9,1,1
596,23.7,14.350000000000001,66,NA,1993,0,LG,NA,A,CN,6,8,BrF,NA,1993-07-08,16,1999,1497,17,1994-07-08,333,26.348458781362005,22.2,31.7,NA,1994,1,1,1
597,NA,16,67,NA,1994,1,JK,NA,A,CN,7,3,BrM,t,1994-04-09,17,2001,1493,19,1995-06-05,437,26.96738343529848,21.8,31.8,NA,1995,1.2,1,1
598,NA,14.1,67,NA,1993,0,LG,NA,A,CN,1,1,ABX,NA,1993-07-09,16,1994,1492,17,1994-07-09,334,26.348458781362005,22.2,31.7,NA,1994,1,1,1
599,NA,16.1,69,NA,1993,1,LG,NA,A,CN,6,NA,BrM,NA,1993-07-09,16,1999,1490,17,1994-07-09,334,26.348458781362005,22.2,31.7,NA,1994,1,1,1
600,NA,14.6,67,NA,1993,0,LG,NA,A,CN,2,NA,BrF,NA,1993-07-10,16,1995,1489,17,1994-07-10,335,26.515510752688172,22.2,31.9,NA,1994,1,1,1
601,NA,14,64,NA,1993,0,LG,NA,A,CN,11,5,AB,NA,1993-07-10,16,2004,1488,17,1994-07-10,335,26.515510752688172,22.2,31.9,NA,1994,1,1,1
602,26.5,16.8,72,37.2,1993,1,DR,09:30:00,A,CN,8,8,BrM,NA,1993-07-10,16,2001,1486,25,1998-08-29,864,26.515510752688172,22.2,31.9,NA,1998,5.1,1,1
603,NA,15.7,68.5,NA,1993,1,JK,NA,A,CN,2,2,BrM,NA,1993-07-10,16,1995,1484,19,1995-08-04,512,26.515510752688172,22.2,31.9,NA,1995,2.1,1,1
604,24.6,14.8,66.33333333333333,36.6,1993,0,LG,NA,A,CN,7,9,BrF,NA,1993-07-10,16,2000,1481,17,1994-07-10,335,26.515510752688172,22.2,31.9,NA,1994,1,1,1
605,26.4,16.1,68.5,NA,1993,1,KB,09:10:00,A,CN,6,7,BrM,NA,1993-07-10,16,1999,1479,22,1997-07-22,704,26.515510752688172,22.2,31.9,NA,1997,4,1,1
606,25.5,16.266666666666666,67.66666666666667,NA,1993,1,KO,11:00:00,A,CN,5,2,BrM,NA,1993-07-10,16,1998,1475,22,1997-07-26,717,26.515510752688172,22.2,31.9,NA,1997,4,1,1
607,25.5,16.65,68,37,1993,1,DR,09:30:00,A,CN,8,3,BrM,NA,1993-07-10,16,2001,1473,25,1998-07-23,819,26.515510752688172,22.2,31.9,NA,1998,5,1,1
608,24.6,15.866666666666667,68.66666666666667,NA,1993,0,PE,NA,A,CN,5,2,H,NA,1993-07-11,16,1998,1470,21,1996-06-30,562,26.515510752688172,22.2,31.9,NA,1996,3,1,1
609,26.06,16.228571428571428,69.5,37.625,1993,1,KO,17:30:00,A,CN,12,18,BrM,NA,1993-07-11,16,2005,1466,22,1997-07-05,673,26.515510752688172,22.2,31.9,NA,1997,4,1,1
627,NA,13.5,64,NA,1994,0,LG,NA,J,CN,6,3,BrF,NA,1994-04-17,17,2000,1434,17,1994-07-16,344,26.96738343529848,21.8,31.8,NA,1994,0.2,1,1
628,23.9,14.84,66.16666666666667,NA,1993,0,AD,NA,A,CN,11,7,BrF,n,1993-07-16,16,2004,1430,19,1995-07-09,487,26.515510752688172,22.2,31.9,NA,1995,2,1,1
629,25.75,17.3,69.125,37.25,1993,1,JK,NA,A,CN,7,7,BrM,NA,1993-07-16,16,2000,1426,21,1996-07-15,574,26.515510752688172,22.2,31.9,NA,1996,3,1,1
630,NA,14.4,69,NA,1993,0,LG,NA,A,CN,3,1,BrF,NA,1993-07-16,16,1996,1425,17,1994-07-16,344,26.515510752688172,22.2,31.9,NA,1994,1,1,1
631,NA,15.3,69.25,NA,1994,1,LG,NA,FL,CN,1,NA,FL,NA,1994-05-17,17,1995,1423,17,1994-07-16,344,26.585091768631813,21.8,30.8,NA,1994,0.2,1,1
632,25,15.266666666666666,69.66666666666667,35.85,1993,1,DR,09:00:00,A,CN,7,6,BrM,NA,1993-07-16,16,2000,23,39,2000-08-03,1020,26.515510752688172,22.2,31.9,NA,2000,7.1,1,1
633,NA,16.9,68.25,NA,1993,1,AD,NA,A,CN,4,4,BrM,n,1993-07-16,16,1997,1418,19,1995-06-29,478,26.515510752688172,22.2,31.9,NA,1995,2,1,1
634,25.8,16.75,69.5,37.1,1993,1,LG,NA,A,CN,11,8,BrM,NA,1993-07-17,16,2004,1416,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
635,NA,15.1,67,NA,1993,0,LG,NA,A,CN,5,2,BrF,NA,1993-07-17,16,1998,1415,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
636,NA,15.7,71,NA,1993,1,LG,NA,A,CN,5,4,BrM,NA,1993-07-17,16,1998,1414,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
637,27,16.5,70,NA,1993,1,AD,NA,A,CN,5,9,BrM,n,1993-07-17,16,1998,1411,19,1995-06-16,456,26.515510752688172,22.2,31.9,NA,1995,1.9,1,1
638,24.7,16.3,68.5,35.6,1993,0,LG,NA,A,CN,9,3,BrF,NA,1993-07-17,16,2002,1410,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
639,22.6,14.3,66,35.4,1994,0,DR,12:00:00,A,CN,8,8,BrF,NA,1994-04-18,17,2002,1408,25,1998-08-05,841,26.96738343529848,21.8,31.8,NA,1998,4.3,1,1
640,NA,NA,67,NA,1993,0,LG,NA,A,CN,6,1,BrF,NA,1993-07-17,16,1999,1407,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
641,25.7,14.55,65.5,NA,1993,0,LG,NA,A,CN,5,5,AB,NA,1993-07-17,16,1998,1406,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
642,NA,15.350000000000001,66.95,NA,1993,1,LG,NA,A,CN,2,3,BrM,NA,1993-07-17,16,1995,1404,17,1994-07-17,345,26.515510752688172,22.2,31.9,NA,1994,1,1,1
663,23.9,15.5,65.16666666666667,36.5,1993,0,AD,NA,A,CN,7,4,BrF,n,1993-07-21,16,2000,1377,19,1995-06-26,474,26.515510752688172,22.2,31.9,NA,1995,1.9,1,1
664,NA,16.7,69,NA,1993,1,LG,NA,A,CN,2,NA,ABX,NO,1993-07-21,16,1995,1376,17,1994-07-21,353,26.515510752688172,22.2,31.9,NA,1994,1,1,1
665,NA,17.9,68,NA,1993,0,LG,NA,A,CN,5,NA,ABX,NO,1993-07-21,16,1998,1375,17,1994-07-21,353,26.515510752688172,22.2,31.9,NA,1994,1,1,1
666,NA,15.4,69,NA,1993,0,LG,NA,A,CN,11,4,AB,NO,1993-07-21,16,2004,1374,17,1994-07-21,353,26.515510752688172,22.2,31.9,NA,1994,1,1,1
667,NA,15.350000000000001,66.5,NA,1994,1,LG,NA,J,CN,1,NA,BrM,NO,1994-04-22,17,1995,1372,17,1994-07-21,353,26.96738343529848,21.8,31.8,NA,1994,0.2,1,1
668,25.2,16.1,67,36,1994,1,KB,10:45:00,A,CN,8,3,BrM,NA,1994-04-23,17,2002,1370,26,1999-01-26,894,26.96738343529848,21.8,31.8,NA,1999,4.8,1,1
669,NA,NA,68,NA,1993,1,LG,NA,A,CN,1,NA,BrM,NO,1993-07-23,16,1994,1369,17,1994-07-23,356,26.515510752688172,22.2,31.9,NA,1994,1,1,1
670,NA,14.7,69,NA,1993,0,LG,NA,A,CN,9,2,AB,TAIL,1993-07-23,16,2002,1368,17,1994-07-23,356,26.515510752688172,22.2,31.9,NA,1994,1,1,1
671,NA,14.1,66,NA,1993,0,LG,NA,A,CN,2,1,BrF,TAIL,1993-07-23,16,1995,1367,17,1994-07-23,356,26.515510752688172,22.2,31.9,NA,1994,1,1,1
672,NA,15.75,67.5,NA,1993,1,LG,NA,SA,CN,6,2,AB,NO,1993-11-25,16,1999,1365,17,1994-07-23,356,27.26774193548387,22.4,32.3,NA,1994,0.7,1,1
673,NA,16.5,67.75,NA,1993,1,LG,NA,A,CN,3,4,BrM,NO,1993-07-24,16,1996,1363,17,1994-07-24,358,26.515510752688172,22.2,31.9,NA,1994,1,1,1
674,NA,15.8,70.25,NA,1993,1,LG,NA,A,CN,6,4,BrM,NO,1993-07-24,16,1999,1360,17,1994-07-24,358,26.515510752688172,22.2,31.9,NA,1994,1,1,1
675,NA,15,66,NA,1993,0,LG,NA,A,CN,5,4,BrF,NO,1993-07-24,16,1998,1359,17,1994-07-24,358,26.515510752688172,22.2,31.9,NA,1994,1,1,1
676,26.2,15.466666666666667,70.66666666666667,36.9,1993,1,LG,NA,A,CN,8,6,BrM,NO,1993-07-24,16,2001,1356,17,1994-07-24,358,26.515510752688172,22.2,31.9,NA,1994,1,1,1
677,24.8,15.4,67.33333333333333,37,1993,0,KO,11:00:00,A,CN,8,6,BrF,NA,1993-07-24,16,2001,1352,22,1997-07-12,688,26.515510752688172,22.2,31.9,NA,1997,4,1,1
678,NA,14.8,67,NA,1993,0,LG,NA,A,CN,2,NA,BrF,NO,1993-07-24,16,1995,1351,17,1994-07-24,358,26.515510752688172,22.2,31.9,NA,1994,1,1,1
679,NA,13.2,66.5,NA,1993,0,LG,NA,A,CN,5,2,BrF,NO,1993-07-25,16,1998,1349,17,1994-07-25,359,26.515510752688172,22.2,31.9,NA,1994,1,1,1
